District Short,District Long,State_Short,State,Wikipedia Page,Wikipedia_Mobile,Rep First Last,"Rep Last, First",Website,Party,ACHA Vote,Margin of Victory 2016,Total Vote,Top Opponent,Hispanic,White,Black,Native American,Asian,Pacific,Other,Multiple Races,Total,Senator 1,Senator 2,Room,Phone
AZ-3,Arizona District 3,AZ,Arizona,https://en.wikipedia.org/wiki/Arizona%27s_3rd_congressional_district,https://en.m.wikipedia.org/wiki/Arizona%27s_3rd_congressional_district,Ra£l M. Grijalva,"Grijalva, Raul ",https://grijalva.house.gov/,Democrat,N,97.30%,"151,035",Write-in,"437,743","201,643","30,418","23,964","10,730","1,050",714,"7,693","713,955",Flake,McCain,1511 LHOB,202-225-2435
AZ-4,Arizona District 4,AZ,Arizona,https://en.wikipedia.org/wiki/Arizona%27s_4th_congressional_district,https://en.m.wikipedia.org/wiki/Arizona%27s_4th_congressional_district,Paul Gosar,"Gosar, Paul A. ",https://gosar.house.gov/,Republican,Y,42.90%,"284,783",Mikel Weisser,"134,308","535,137","12,454","11,949","6,626","1,156",542,"12,123","714,295",Flake,McCain,2057 RHOB,202-225-2315
AZ-5,Arizona District 5,AZ,Arizona,https://en.wikipedia.org/wiki/Arizona%27s_5th_congressional_district,https://en.m.wikipedia.org/wiki/Arizona%27s_5th_congressional_district,Andy Biggs,"Biggs, Andy ",https://biggs.house.gov/,Republican,N,28.20%,"320,124",Talia Fuentes,"124,089","529,298","20,735","6,174","32,284","1,345",623,"14,668","729,216",Flake,McCain,1626 LHOB,202-225-2635
AZ-6,Arizona District 6,AZ,Arizona,https://en.wikipedia.org/wiki/Arizona%27s_6th_congressional_district,https://en.m.wikipedia.org/wiki/Arizona%27s_6th_congressional_district,David Schweikert,"Schweikert, David ",https://schweikert.house.gov/,Republican,Y,24.30%,"324,444",John Williamson,"107,582","546,227","17,795","10,526","27,765",472,885,"13,783","725,035",Flake,McCain,2059 RHOB,202-225-2190
AZ-7,Arizona District 7,AZ,Arizona,https://en.wikipedia.org/wiki/Arizona%27s_7th_congressional_district,https://en.m.wikipedia.org/wiki/Arizona%27s_7th_congressional_district,Ruben Gallego,"Gallego, Ruben ",https://rubengallego.house.gov/,Democrat,N,50.50%,"158,811",Eve Nunez,"462,963","150,628","64,144","15,144","15,379","1,578","1,475","7,664","718,975",Flake,McCain,1218 LHOB,202-225-4065
AZ-8,Arizona District 8,AZ,Arizona,https://en.wikipedia.org/wiki/Arizona%27s_8th_congressional_district,https://en.m.wikipedia.org/wiki/Arizona%27s_8th_congressional_district,Trent Franks,"Franks, Trent ",https://franks.house.gov/,Republican,Y,37.10%,"298,971",Mark Salazar,"139,196","514,294","27,552","5,689","22,011",797,743,"14,686","724,968",Flake,McCain,2435 RHOB,202-225-4576
AZ-9,Arizona District 9,AZ,Arizona,https://en.wikipedia.org/wiki/Arizona%27s_9th_congressional_district,https://en.m.wikipedia.org/wiki/Arizona%27s_9th_congressional_district,Kyrsten Sinema,"Sinema, Kyrsten ",https://sinema.house.gov/,Democrat,N,21.90%,"277,507",Dave Giles,"195,687","418,455","37,876","16,176","33,382","2,660","1,139","18,070","723,445",Flake,McCain,1725 LHOB,202-225-9888
AR-1,Arkansas District 1,AR,Arkansas,https://en.wikipedia.org/wiki/Arkansas%27s_1st_congressional_district,https://en.m.wikipedia.org/wiki/Arkansas%27s_1st_congressional_district,Rick Crawford,"Crawford, Rick ",https://crawford.house.gov/,Republican,Y,52.60%,"241,047",Mark West,"21,271","559,001","131,640","2,390","3,560",198,262,"9,492","727,814",Boozman,Cotton,2422 RHOB,202-225-4076
AR-2,Arkansas District 2,AR,Arkansas,https://en.wikipedia.org/wiki/Arkansas%27s_2nd_congressional_district,https://en.m.wikipedia.org/wiki/Arkansas%27s_2nd_congressional_district,French Hill,"Hill, French ",https://hill.house.gov/,Republican,Y,21.50%,"302,464",Dianne Curry,"35,675","517,091","159,344","2,431","10,298",173,892,"12,504","738,408",Boozman,Cotton,1229 LHOB,202-225-2506
AR-3,Arkansas District 3,AR,Arkansas,https://en.wikipedia.org/wiki/Arkansas%27s_3rd_congressional_district,https://en.m.wikipedia.org/wiki/Arkansas%27s_3rd_congressional_district,Steve Womack,"Womack, Steve ",https://womack.house.gov/,Republican,Y,54.60%,"280,907",Steve Isaacson,"96,474","573,324","19,338","7,808","18,947","5,161","1,282","18,304","740,638",Boozman,Cotton,2412 RHOB,202-225-4301
AR-4,Arkansas District 4,AR,Arkansas,https://en.wikipedia.org/wiki/Arkansas%27s_4th_congressional_district,https://en.m.wikipedia.org/wiki/Arkansas%27s_4th_congressional_district,Bruce Westerman,"Westerman, Bruce ",https://westerman.house.gov/,Republican,Y,49.80%,"244,159",Kerry Hicks,"38,844","526,641","141,777","3,753","4,655",121,216,"10,502","726,509",Boozman,Cotton,130 CHOB,202-225-3772
CA-1,California District 1,CA,California,https://en.wikipedia.org/wiki/California%27s_1st_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_1st_congressional_district,Doug LaMalfa,"LaMalfa, Doug ",https://lamalfa.house.gov/,Republican,Y,18.10%,"314,036",Jim Reed,"87,379","552,905","9,258","10,395","17,628","1,655",505,"23,735","703,460",Feinstein,Harris,322 CHOB,202-225-3076
CA-10,California District 10,CA,California,https://en.wikipedia.org/wiki/California%27s_10th_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_10th_congressional_district,Jeff Denham,"Denham, Jeff ",https://denham.house.gov/,Republican,Y,3.40%,"241,141",Michael Eggman,"288,463","324,522","21,260","3,259","45,099","4,720","1,036","19,849","708,208",Feinstein,Harris,1730 LHOB,202-225-4540
CA-11,California District 11,CA,California,https://en.wikipedia.org/wiki/California%27s_11th_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_11th_congressional_district,Mark DeSaulnier,"DeSaulnier, Mark ",https://desaulnier.house.gov/,Democrat,N,44.10%,"298,209",Roger Petersen,"181,358","344,804","64,163","1,518","90,264","3,340","2,067","26,320","713,834",Feinstein,Harris,115 CHOB,202-225-2095
CA-12,California District 12,CA,California,https://en.wikipedia.org/wiki/California%27s_12th_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_12th_congressional_district,Nancy Pelosi,"Pelosi, Nancy ",https://pelosi.house.gov/,Democrat,N,61.70%,"338,845",Preston Picus,"102,924","311,969","40,620","1,678","222,943","3,126","3,175","23,298","709,733",Feinstein,Harris,233 CHOB,202-225-4965
CA-13,California District 13,CA,California,https://en.wikipedia.org/wiki/California%27s_13th_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_13th_congressional_district,Barbara Lee,"Lee, Barbara ",https://lee.house.gov/,Democrat,N,81.60%,"322,871",Sue Caro,"150,634","243,106","133,084","2,083","148,571","4,046","2,297","29,800","713,621",Feinstein,Harris,2267 RHOB,202-225-2661
CA-14,California District 14,CA,California,https://en.wikipedia.org/wiki/California%27s_14th_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_14th_congressional_district,Jackie Speier,"Speier, Jackie ",https://speier.house.gov/,Democrat,N,61.70%,"286,447",Angel Cardenas,"174,717","260,304","22,246","1,116","220,939","10,205","2,855","24,123","716,505",Feinstein,Harris,2465 RHOB,202-225-3531
CA-15,California District 15,CA,California,https://en.wikipedia.org/wiki/California%27s_15th_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_15th_congressional_district,Eric Swalwell,"Swalwell, Eric ",https://swalwell.house.gov/,Democrat,N,47.50%,"269,197",Danny Turner,"166,737","261,999","43,596","2,105","204,949","7,095","1,905","27,056","715,442",Feinstein,Harris,129 CHOB,202-225-5065
CA-16,California District 16,CA,California,https://en.wikipedia.org/wiki/California%27s_16th_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_16th_congressional_district,Jim Costa,"Costa, Jim ",https://costa.house.gov/,Democrat,N,16.10%,"167,956",Johnny Tacherra,"412,791","173,723","40,378","3,408","64,119","1,583",840,"10,758","707,600",Feinstein,Harris,2081 RHOB,202-225-3341
CA-17,California District 17,CA,California,https://en.wikipedia.org/wiki/California%27s_17th_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_17th_congressional_district,Ro Khanna,"Khanna, Ro ",https://khanna.house.gov/,Democrat,N,22%,"233,192",Mike Honda,"125,187","188,195","18,269","1,628","354,365","3,638","2,157","22,421","715,860",Feinstein,Harris,513 CHOB,202-225-2631
CA-18,California District 18,CA,California,https://en.wikipedia.org/wiki/California%27s_18th_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_18th_congressional_district,Anna G. Eshoo,"Eshoo, Anna G. ",https://eshoo.house.gov/,Democrat,N,42.30%,"323,930",Richard Fox,"123,768","410,579","13,307","1,606","139,469","1,161","1,518","25,883","717,291",Feinstein,Harris,241 CHOB,202-225-8104
CA-19,California District 19,CA,California,https://en.wikipedia.org/wiki/California%27s_19th_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_19th_congressional_district,Zoe Lofgren,"Lofgren, Zoe ",https://lofgren.house.gov/,Democrat,N,47.90%,"245,863",G. Burt Lancaster,"292,474","189,390","19,826","1,616","185,764","2,732","1,135","18,804","711,741",Feinstein,Harris,1401 LHOB,202-225-3072
CA-2,California District 2,CA,California,https://en.wikipedia.org/wiki/California%27s_2nd_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_2nd_congressional_district,Jared Huffman,"Huffman, Jared ",https://huffman.house.gov/,Democrat,N,53.70%,"330,766",Dale Mensing,"118,342","512,448","11,154","13,579","25,052","1,497","2,132","20,876","705,080",Feinstein,Harris,1406 LHOB,202-225-5161
CA-20,California District 20,CA,California,https://en.wikipedia.org/wiki/California%27s_20th_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_20th_congressional_district,Jimmy Panetta,"Panetta, Jimmy ",https://panetta.house.gov/,Democrat,N,41.50%,"255,791",Casey Lucius,"362,963","275,989","14,629","1,936","36,252","2,524",652,"16,292","711,237",Feinstein,Harris,228 CHOB,202-225-2861
CA-21,California District 21,CA,California,https://en.wikipedia.org/wiki/California%27s_21st_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_21st_congressional_district,David Valadao,"Valadao, David ",https://valadao.house.gov/,Republican,Y,13.50%,"132,408",Emilio Huerta,"504,539","131,929","30,347","3,521","23,454",664,"1,025","9,452","704,931",Feinstein,Harris,1728 LHOB,202-225-4695
CA-22,California District 22,CA,California,https://en.wikipedia.org/wiki/California%27s_22nd_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_22nd_congressional_district,Devin Nunes,"Nunes, Devin ",https://nunes.house.gov/,Republican,Y,35.10%,"234,966",Louie Campos,"323,561","300,863","20,271","3,314","50,195",936,"1,355","15,016","715,511",Feinstein,Harris,1013 LHOB,202-225-2523
CA-23,California District 23,CA,California,https://en.wikipedia.org/wiki/California%27s_23rd_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_23rd_congressional_district,Kevin McCarthy,"McCarthy, Kevin ",https://kevinmccarthy.house.gov/,Republican,Y,38.40%,"241,584",Wendy Reed,"258,620","351,799","41,651","5,875","32,819","1,006","1,052","17,223","710,045",Feinstein,Harris,2421 RHOB,202-225-2915
CA-24,California District 24,CA,California,https://en.wikipedia.org/wiki/California%27s_24th_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_24th_congressional_district,Salud Carbajal,"Carbajal, Salud ",https://carbajal.house.gov/,Democrat,N,6.80%,"310,814",Justin Fareed,"244,457","401,722","12,769","3,166","30,026","1,097",967,"15,053","709,257",Feinstein,Harris,212 CHOB,202-225-3601
CA-25,California District 25,CA,California,https://en.wikipedia.org/wiki/California%27s_25th_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_25th_congressional_district,Steve Knight,"Knight, Steve ",https://knight.house.gov/,Republican,Y,6.30%,"261,161",Bryan Caforio,"255,589","317,027","52,339","1,638","55,211","1,484","1,516","22,487","707,291",Feinstein,Harris,1023 LHOB,202-225-1956
CA-26,California District 26,CA,California,https://en.wikipedia.org/wiki/California%27s_26th_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_26th_congressional_district,Julia Brownley,"Brownley, Julia ",https://juliabrownley.house.gov/,Democrat,N,20.80%,"280,307",Rafael Dagnesses,"309,265","322,566","11,974","1,740","45,096",866,669,"14,997","707,173",Feinstein,Harris,1019 LHOB,202-225-5811
CA-27,California District 27,CA,California,https://en.wikipedia.org/wiki/California%27s_27th_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_27th_congressional_district,Judy Chu,"Chu, Judy ",https://chu.house.gov/,Democrat,N,34.80%,"250,632",Jack Orswell,"190,652","206,614","31,534",891,"261,498","1,092","1,907","15,447","709,635",Feinstein,Harris,2423 RHOB,202-225-5464
CA-28,California District 28,CA,California,https://en.wikipedia.org/wiki/California%27s_28th_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_28th_congressional_district,Adam B. Schiff,"Schiff, Adam ",https://schiff.house.gov/,Democrat,N,56%,"270,409",Lenore Solis,"186,543","391,351","16,927","1,538","91,066",828,"2,018","17,441","707,712",Feinstein,Harris,2372 RHOB,202-225-4176
CA-29,California District 29,CA,California,https://en.wikipedia.org/wiki/California%27s_29th_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_29th_congressional_district,Tony C†rdenas,"C†rdenas, Tony ",https://cardenas.house.gov/,Democrat,N,49.50%,"171,824",Richard Alarcon,"481,456","128,684","25,512","1,040","56,495",880,"1,903","7,758","703,728",Feinstein,Harris,1510 LHOB,202-225-6131
CA-3,California District 3,CA,California,https://en.wikipedia.org/wiki/California%27s_3rd_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_3rd_congressional_district,John Garamendi,"Garamendi, John ",https://garamendi.house.gov/,Democrat,N,18.70%,"256,966",Eugene Cleek,"196,640","353,563","42,444","5,445","73,586","3,743","2,114","29,411","706,946",Feinstein,Harris,2438 RHOB,202-225-1880
CA-30,California District 30,CA,California,https://en.wikipedia.org/wiki/California%27s_30th_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_30th_congressional_district,Brad Sherman,"Sherman, Brad ",https://sherman.house.gov/,Democrat,N,45.30%,"282,604",Mark Reed,"203,716","374,150","30,933","1,334","88,294","1,054","1,155","22,149","722,785",Feinstein,Harris,2181 RHOB,202-225-5911
CA-31,California District 31,CA,California,https://en.wikipedia.org/wiki/California%27s_31st_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_31st_congressional_district,Pete Aguilar,"Aguilar, Pete ",https://aguilar.house.gov/,Democrat,N,12.10%,"215,936",Paul Chabot,"359,382","204,798","72,330","1,711","51,801","1,978","2,233","17,196","711,429",Feinstein,Harris,1223 LHOB,202-225-3201
CA-32,California District 32,CA,California,https://en.wikipedia.org/wiki/California%27s_32nd_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_32nd_congressional_district,Grace F. Napolitano,"Napolitano, Grace ",https://napolitano.house.gov/,Democrat,N,23.10%,"186,646",Roger Hernandez,"437,939","127,251","18,049","1,281","111,327",556,996,"9,280","706,679",Feinstein,Harris,1610 LHOB,202-225-5256
CA-33,California District 33,CA,California,https://en.wikipedia.org/wiki/California%27s_33rd_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_33rd_congressional_district,Ted Lieu,"Lieu, Ted ",https://lieu.house.gov/,Democrat,N,32.90%,"330,219",Kenneth Wright,"85,666","475,329","19,893","1,170","96,803","1,274","1,820","25,934","707,889",Feinstein,Harris,236 CHOB,202-225-3976
CA-34,California District 34,CA,California,https://en.wikipedia.org/wiki/California%27s_34th_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_34th_congressional_district,"Becerra, Xavier -- Vacancy","Becerra, Xavier -- Vacancy",https://clerk.house.gov/member_info/vacancies_pr.aspx?pr=house&vid=106,Vacant,Vacant,54.40%,"159,156",Adrienne Nicole Edwards,"462,173","68,666","28,308","1,251","134,305","1,579","1,529","6,637","704,448",Feinstein,Harris,1226 LHOB,202-225-6235
CA-35,California District 35,CA,California,https://en.wikipedia.org/wiki/California%27s_35th_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_35th_congressional_district,Norma J. Torres,"Torres, Norma ",https://torres.house.gov/,Democrat,N,44.80%,"171,353",Tyler Fischella,"495,733","110,593","48,680","1,526","45,507","1,792","1,537","11,414","716,782",Feinstein,Harris,1713 LHOB,202-225-6161
CA-36,California District 36,CA,California,https://en.wikipedia.org/wiki/California%27s_36th_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_36th_congressional_district,Raul Ruiz,"Ruiz, Raul ",https://ruiz.house.gov/,Democrat,N,24.10%,"232,617",Jeff Stone,"330,775","309,589","25,656","3,826","21,710","1,187","1,601","11,906","706,250",Feinstein,Harris,1319 LHOB,202-225-5330
CA-37,California District 37,CA,California,https://en.wikipedia.org/wiki/California%27s_37th_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_37th_congressional_district,Karen Bass,"Bass, Karen ",https://bass.house.gov/,Democrat,N,62.30%,"237,272",Chris Blake Wiggins,"270,204","176,824","174,837",878,"67,049","1,067","3,856","18,375","713,090",Feinstein,Harris,2241 RHOB,202-225-7084
CA-38,California District 38,CA,California,https://en.wikipedia.org/wiki/California%27s_38th_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_38th_congressional_district,Linda T. S†nchez,"S†nchez, Linda ",https://lindasanchez.house.gov/,Democrat,N,41%,"232,114",Ryan Downing,"435,858","130,989","25,913","2,026","102,382","1,898","1,968","10,263","711,297",Feinstein,Harris,2329 RHOB,202-225-6676
CA-39,California District 39,CA,California,https://en.wikipedia.org/wiki/California%27s_39th_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_39th_congressional_district,Ed Royce,"Royce, Ed ",https://royce.house.gov/,Republican,Y,14.50%,"263,456",Brett Murdock,"237,978","234,243","15,627","1,507","204,788","1,417","1,175","15,805","712,540",Feinstein,Harris,2310 RHOB,202-225-4111
CA-4,California District 4,CA,California,https://en.wikipedia.org/wiki/California%27s_4th_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_4th_congressional_district,Tom McClintock,"McClintock, Tom ",https://mcclintock.house.gov/,Republican,Y,25.40%,"350,978",Bob Derlet,"87,268","548,407","8,131","6,811","29,873",827,"1,056","21,782","704,155",Feinstein,Harris,2312 RHOB,202-225-2511
CA-40,California District 40,CA,California,https://en.wikipedia.org/wiki/California%27s_40th_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_40th_congressional_district,Lucille Roybal-Allard,"Roybal-Allard, Lucille ",https://roybal-allard.house.gov/,Democrat,N,62.30%,"131,297",Roman Gonzalez,"612,063","36,568","33,098",572,"15,393",931,796,"2,454","701,875",Feinstein,Harris,2083 RHOB,202-225-1766
CA-41,California District 41,CA,California,https://en.wikipedia.org/wiki/California%27s_41st_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_41st_congressional_district,Mark Takano,"Takano, Mark ",https://takano.house.gov/,Democrat,N,29.90%,"197,323",Doug Shepherd,"409,824","180,295","65,815","2,341","36,728","2,018","1,615","15,481","714,117",Feinstein,Harris,1507 LHOB,202-225-2305
CA-42,California District 42,CA,California,https://en.wikipedia.org/wiki/California%27s_42nd_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_42nd_congressional_district,Ken Calvert,"Calvert, Ken ",https://calvert.house.gov/,Republican,Y,17.60%,"254,236",Tim Sheridan,"264,067","332,531","37,019","2,611","63,052","2,552","1,796","20,901","724,529",Feinstein,Harris,2205 RHOB,202-225-1986
CA-43,California District 43,CA,California,https://en.wikipedia.org/wiki/California%27s_43rd_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_43rd_congressional_district,Maxine Waters,"Waters, Maxine ",https://waters.house.gov/,Democrat,N,52.20%,"219,516",Omar Navarro,"322,653","105,571","163,227",883,"87,186","3,726","1,727","17,761","702,734",Feinstein,Harris,2221 RHOB,202-225-2201
CA-44,California District 44,CA,California,https://en.wikipedia.org/wiki/California%27s_44th_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_44th_congressional_district,Nanette Barrag†n,"Barrag&aacuten, Nanette ",https://barragan.house.gov/,Democrat,N,4.40%,"178,413",Isadore Hall,"489,211","48,815","112,006","1,207","38,653","4,173","1,687","11,158","706,910",Feinstein,Harris,1320 LHOB,202-225-8220
CA-45,California District 45,CA,California,https://en.wikipedia.org/wiki/California%27s_45th_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_45th_congressional_district,Mimi Walters,"Walters, Mimi ",https://walters.house.gov/,Republican,Y,17.10%,"311,849",Ron Varasteh,"129,749","394,556","10,971","1,788","153,954","1,734","1,703","22,008","716,463",Feinstein,Harris,215 CHOB,202-225-5611
CA-46,California District 46,CA,California,https://en.wikipedia.org/wiki/California%27s_46th_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_46th_congressional_district,J. Luis Correa,"Correa, J. Luis ",https://correa.house.gov/,Democrat,N,40%,"164,593",Bao Nguyen,"472,409","132,902","11,928","1,079","81,643","2,103",841,"7,346","710,251",Feinstein,Harris,1039 LHOB,202-225-2965
CA-47,California District 47,CA,California,https://en.wikipedia.org/wiki/California%27s_47th_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_47th_congressional_district,Alan Lowenthal,"Lowenthal, Alan ",https://lowenthal.house.gov/,Democrat,N,27.40%,"242,868",Andy Whallon,"243,678","234,823","50,977","1,943","151,260","4,690","1,409","23,078","711,858",Feinstein,Harris,125 CHOB,202-225-7924
CA-48,California District 48,CA,California,https://en.wikipedia.org/wiki/California%27s_48th_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_48th_congressional_district,Dana Rohrabacher,"Rohrabacher, Dana ",https://rohrabacher.house.gov/,Republican,Y,16.60%,"306,416",Suzanne Savary,"148,427","407,522","7,237","1,276","124,460","2,317","1,528","17,148","709,915",Feinstein,Harris,2300 RHOB,202-225-2415
CA-49,California District 49,CA,California,https://en.wikipedia.org/wiki/California%27s_49th_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_49th_congressional_district,Darrell Issa,"Issa, Darrell ",https://issa.house.gov/,Republican,Y,0.50%,"310,155",Douglas Applegate,"183,643","438,752","17,288","1,601","44,894","2,872","1,516","18,943","709,509",Feinstein,Harris,2269 RHOB,202-225-3906
CA-5,California District 5,CA,California,https://en.wikipedia.org/wiki/California%27s_5th_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_5th_congressional_district,Mike Thompson,"Thompson, Mike ",https://mikethompson.house.gov/,Democrat,N,53.70%,"292,091",Carlos Santamaria,"187,690","371,488","42,866","4,341","73,493","3,516","1,104","25,475","709,973",Feinstein,Harris,231 CHOB,202-225-3311
CA-50,California District 50,CA,California,https://en.wikipedia.org/wiki/California%27s_50th_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_50th_congressional_district,Duncan Hunter,"Hunter, Duncan D. ",https://hunter.house.gov/,Republican,Y,26.90%,"283,583",Patrick Malloy,"211,472","416,364","16,300","5,647","35,376","1,967","1,128","21,918","710,172",Feinstein,Harris,2429 RHOB,202-225-5672
CA-51,California District 51,CA,California,https://en.wikipedia.org/wiki/California%27s_51st_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_51st_congressional_district,Juan C. Vargas,"Vargas, Juan ",https://vargas.house.gov/,Democrat,N,45.50%,"199,524",Juan Hidalgo Jr.,"491,006","100,245","48,527","2,930","55,810","2,054",379,"10,907","711,858",Feinstein,Harris,1605 LHOB,202-225-8045
